airline,date_of_journey,source,destination,dep_time,arrival_time,duration,total_stops,additional_info,price
Indigo,2019-03-09,Delhi,Cochin,07:35:00,16:10:00,515,1.0,No Info,6674
Air India,2019-03-01,Banglore,New Delhi,06:45:00,11:10:00,1705,2.0,No Info,20999
Jet Airways,2019-05-21,Delhi,Cochin,19:30:00,04:25:00,535,2.0,No Info,15129
Indigo,2019-04-15,Kolkata,Banglore,15:15:00,20:05:00,290,1.0,No Info,4775
Vistara,2019-05-09,Kolkata,Banglore,17:00:00,18:50:00,1550,1.0,No Info,8820
Spicejet,2019-04-01,Kolkata,Banglore,22:20:00,00:40:00,140,0.0,No check-in baggage included,3841
Jet Airways,2019-03-06,Delhi,Cochin,17:55:00,04:25:00,2070,2.0,In-flight meal not included,15812
Indigo,2019-05-06,Chennai,Kolkata,13:15:00,15:35:00,140,0.0,No Info,3597
Spicejet,2019-06-06,Kolkata,Banglore,08:35:00,17:15:00,520,1.0,No Info,6643
Jet Airways,2019-03-18,Banglore,New Delhi,11:40:00,07:40:00,1200,1.0,No Info,12284
Spicejet,2019-04-12,Kolkata,Banglore,09:00:00,11:25:00,145,0.0,No Info,3873
Air Asia,2019-05-15,Banglore,Delhi,04:55:00,07:45:00,170,0.0,No Info,4282
Jet Airways,2019-06-06,Delhi,Cochin,14:35:00,04:25:00,830,2.0,No Info,13376
Jet Airways,2019-06-15,Delhi,Cochin,11:45:00,04:25:00,1000,2.0,No Info,13882
Air India,2019-06-01,Mumbai,Hyderabad,21:05:00,22:25:00,80,0.0,No Info,3100
Jet Airways,2019-05-21,Banglore,Delhi,15:50:00,18:45:00,175,0.0,In-flight meal not included,3359
Indigo,2019-03-21,Banglore,New Delhi,10:10:00,13:00:00,170,0.0,No Info,4777
Air Asia,2019-06-18,Kolkata,Banglore,09:45:00,12:15:00,150,0.0,No Info,3807
Goair,2019-04-27,Banglore,Delhi,20:55:00,23:40:00,165,0.0,No Info,3898
Air India,2019-05-03,Kolkata,Banglore,20:45:00,23:20:00,155,0.0,No Info,4145
Jet Airways,2019-03-12,Banglore,New Delhi,22:55:00,18:25:00,1170,1.0,In-flight meal not included,11087
Indigo,2019-05-12,Mumbai,Hyderabad,19:05:00,20:35:00,90,0.0,No Info,2754
Jet Airways,2019-03-21,Delhi,Cochin,13:00:00,18:50:00,350,1.0,In-flight meal not included,6540
Jet Airways,2019-03-12,Banglore,New Delhi,21:25:00,07:40:00,615,1.0,No Info,11717
Indigo,2019-05-18,Kolkata,Banglore,22:15:00,00:50:00,155,0.0,No Info,4804
Jet Airways,2019-03-21,Banglore,New Delhi,18:40:00,07:40:00,780,1.0,In-flight meal not included,7832
Jet Airways,2019-05-27,Delhi,Cochin,20:55:00,12:35:00,940,1.0,In-flight meal not included,12898
Vistara,2019-04-27,Banglore,Delhi,11:30:00,14:20:00,170,0.0,No Info,5403
Spicejet,2019-06-03,Delhi,Cochin,17:55:00,22:50:00,295,1.0,No Info,5409
Air India,2019-05-24,Delhi,Cochin,09:45:00,09:25:00,1420,1.0,No Info,7480
Spicejet,2019-04-03,Banglore,Delhi,21:10:00,00:05:00,175,0.0,No Info,3971
Jet Airways,2019-05-27,Delhi,Cochin,10:00:00,12:35:00,1595,1.0,In-flight meal not included,12898
Spicejet,2019-04-24,Banglore,Delhi,21:10:00,00:05:00,175,0.0,No Info,3625
Jet Airways,2019-05-24,Kolkata,Banglore,21:10:00,04:40:00,450,1.0,In-flight meal not included,9663
Multiple Carriers,2019-03-06,Delhi,Cochin,07:10:00,22:20:00,910,1.0,In-flight meal not included,7563
Multiple Carriers,2019-03-21,Delhi,Cochin,09:00:00,15:30:00,390,1.0,No Info,8307
Indigo,2019-04-21,Banglore,Delhi,23:30:00,02:20:00,170,0.0,No Info,4591
Indigo,2019-03-01,Mumbai,Hyderabad,02:30:00,04:00:00,90,0.0,No Info,16000
Multiple Carriers,2019-06-27,Delhi,Cochin,16:00:00,01:30:00,570,1.0,No Info,13377
Jet Airways,2019-05-18,Kolkata,Banglore,20:00:00,09:20:00,800,1.0,No Info,14781
Jet Airways,2019-04-03,Mumbai,Hyderabad,10:20:00,11:50:00,90,0.0,In-flight meal not included,3205
Air India,2019-06-15,Delhi,Cochin,05:15:00,19:15:00,2280,3.0,No Info,10703
Spicejet,2019-03-24,Chennai,Kolkata,08:20:00,10:35:00,135,0.0,No check-in baggage included,3807
Spicejet,2019-04-01,Kolkata,Banglore,06:55:00,09:30:00,155,0.0,No Info,3873
Spicejet,2019-06-09,Kolkata,Banglore,11:15:00,18:30:00,435,1.0,No Info,9946
Jet Airways,2019-04-01,Kolkata,Banglore,18:55:00,19:50:00,1495,1.0,In-flight meal not included,7064
Air India,2019-05-24,Kolkata,Banglore,20:30:00,20:25:00,1435,1.0,No Info,10413
Multiple Carriers,2019-06-03,Delhi,Cochin,07:30:00,19:15:00,705,1.0,No Info,7354
Jet Airways,2019-05-09,Kolkata,Banglore,20:25:00,21:05:00,1480,1.0,No Info,13067
Jet Airways,2019-06-27,Delhi,Cochin,14:35:00,12:35:00,1320,2.0,In-flight meal not included,10919
Multiple Carriers,2019-06-03,Delhi,Cochin,08:30:00,19:00:00,630,1.0,No Info,11200
Air India,2019-03-15,Banglore,New Delhi,11:50:00,08:55:00,1265,1.0,No Info,5932
Indigo,2019-05-09,Delhi,Cochin,14:25:00,17:40:00,195,0.0,No Info,6015
Jet Airways,2019-05-01,Kolkata,Banglore,16:30:00,04:40:00,730,1.0,In-flight meal not included,8586
Multiple Carriers,2019-03-21,Delhi,Cochin,07:30:00,21:00:00,810,1.0,No Info,9845
Air India,2019-06-27,Delhi,Cochin,16:40:00,19:15:00,1595,2.0,No Info,9653
Jet Airways,2019-06-15,Mumbai,Hyderabad,19:35:00,21:05:00,90,0.0,No Info,5678
Jet Airways,2019-06-24,Delhi,Cochin,20:00:00,04:25:00,505,2.0,In-flight meal not included,12410
Indigo,2019-06-01,Banglore,Delhi,23:30:00,02:20:00,170,0.0,No Info,4591
Vistara,2019-05-18,Banglore,Delhi,19:30:00,22:15:00,165,0.0,No Info,4878
Vistara,2019-06-01,Banglore,Delhi,17:00:00,19:35:00,155,0.0,No Info,4878
Jet Airways,2019-05-21,Kolkata,Banglore,21:10:00,22:35:00,1525,1.0,In-flight meal not included,10844
Multiple Carriers,2019-05-18,Delhi,Cochin,11:25:00,19:15:00,470,1.0,No Info,7997
Jet Airways,2019-03-09,Delhi,Cochin,10:45:00,04:25:00,1060,2.0,No Info,17282
Jet Airways,2019-06-24,Delhi,Cochin,14:00:00,04:25:00,865,1.0,In-flight meal not included,10262
Multiple Carriers,2019-06-09,Delhi,Cochin,15:15:00,01:30:00,615,1.0,No Info,6795
Jet Airways,2019-06-27,Delhi,Cochin,20:00:00,04:25:00,505,2.0,No Info,16263
Jet Airways,2019-03-01,Mumbai,Hyderabad,07:10:00,08:35:00,85,0.0,No Info,17501
Indigo,2019-05-06,Chennai,Kolkata,07:55:00,10:15:00,140,0.0,No Info,3850
Spicejet,2019-05-18,Banglore,Delhi,09:30:00,12:20:00,170,0.0,No Info,4423
Jet Airways,2019-04-03,Banglore,Delhi,08:20:00,11:20:00,180,0.0,No Info,7229
Multiple Carriers,2019-06-01,Delhi,Cochin,12:50:00,19:15:00,385,1.0,No Info,9526
Jet Airways,2019-05-12,Kolkata,Banglore,21:10:00,09:20:00,730,1.0,No Info,14388
Jet Airways,2019-06-01,Delhi,Cochin,17:30:00,19:00:00,1530,1.0,In-flight meal not included,10262
Spicejet,2019-05-01,Chennai,Kolkata,08:20:00,10:35:00,135,0.0,No check-in baggage included,3543
Indigo,2019-06-12,Delhi,Cochin,15:00:00,01:30:00,630,1.0,No Info,5684
Jet Airways,2019-03-21,Delhi,Cochin,13:00:00,18:50:00,1790,2.0,No Info,13082
Jet Airways,2019-05-21,Delhi,Cochin,09:40:00,19:00:00,560,2.0,In-flight meal not included,13029
Indigo,2019-06-12,Delhi,Cochin,16:00:00,01:30:00,570,1.0,No Info,6316
Jet Airways,2019-05-12,Banglore,Delhi,19:50:00,22:50:00,180,0.0,No Info,7229
Spicejet,2019-04-01,Mumbai,Hyderabad,05:45:00,07:15:00,90,0.0,No check-in baggage included,1965
Jet Airways,2019-05-01,Kolkata,Banglore,20:00:00,09:20:00,800,1.0,No Info,14388
Jet Airways,2019-03-21,Delhi,Cochin,19:15:00,04:25:00,550,1.0,No Info,12557
Spicejet,2019-05-27,Kolkata,Banglore,17:10:00,19:40:00,150,0.0,No Info,3873
Indigo,2019-06-06,Delhi,Cochin,07:35:00,16:10:00,515,1.0,No Info,6674
Air India,2019-05-27,Delhi,Cochin,18:30:00,19:15:00,1485,2.0,No Info,12488
Jet Airways,2019-05-21,Delhi,Cochin,21:50:00,19:00:00,1270,1.0,In-flight meal not included,12898
Jet Airways,2019-06-03,Mumbai,Hyderabad,10:20:00,11:50:00,90,0.0,In-flight meal not included,4995
Jet Airways,2019-05-12,Kolkata,Banglore,17:00:00,10:55:00,1075,1.0,No Info,14151
Indigo,2019-03-06,Delhi,Cochin,17:30:00,01:35:00,485,1.0,No Info,14871
Air India,2019-05-12,Kolkata,Banglore,09:25:00,05:35:00,1210,2.0,No Info,11432
Spicejet,2019-05-18,Kolkata,Banglore,11:15:00,18:30:00,435,1.0,No Info,10944
Multiple Carriers,2019-05-27,Delhi,Cochin,11:30:00,19:15:00,465,1.0,No Info,15898
Multiple Carriers,2019-06-09,Delhi,Cochin,07:10:00,22:30:00,920,1.0,No Info,6513
Jet Airways,2019-03-12,Banglore,New Delhi,20:35:00,09:30:00,775,1.0,In-flight meal not included,11087
Jet Airways,2019-05-21,Delhi,Cochin,19:45:00,12:35:00,1010,1.0,In-flight meal not included,12898
Indigo,2019-05-27,Banglore,Delhi,22:10:00,01:00:00,170,0.0,No Info,3749
Spicejet,2019-05-12,Mumbai,Hyderabad,05:45:00,07:15:00,90,0.0,No check-in baggage included,1965
Multiple Carriers,2019-05-21,Delhi,Cochin,11:40:00,21:00:00,560,1.0,No Info,7485
Air India,2019-06-09,Kolkata,Banglore,09:25:00,07:55:00,1350,1.0,No Info,8366
Indigo,2019-04-12,Banglore,Delhi,18:25:00,21:20:00,175,0.0,No Info,4990
Jet Airways,2019-06-27,Delhi,Cochin,19:45:00,19:00:00,1395,1.0,In-flight meal not included,10262
Indigo,2019-03-01,Banglore,New Delhi,07:10:00,10:05:00,175,0.0,No Info,11934
Multiple Carriers,2019-03-21,Delhi,Cochin,06:00:00,12:35:00,395,1.0,No Info,13369
Air India,2019-03-09,Delhi,Cochin,22:00:00,19:15:00,1275,2.0,No Info,14851
Vistara,2019-03-27,Chennai,Kolkata,07:05:00,09:20:00,135,0.0,No Info,3739
Air India,2019-05-18,Kolkata,Banglore,16:45:00,21:05:00,1700,1.0,No Info,7872
Jet Airways,2019-03-27,Mumbai,Hyderabad,07:10:00,08:35:00,85,0.0,No Info,8040
Indigo,2019-06-24,Banglore,Delhi,16:55:00,19:55:00,180,0.0,No Info,4823
Jet Airways,2019-06-15,Delhi,Cochin,21:25:00,19:00:00,1295,2.0,In-flight meal not included,10588
Indigo,2019-05-27,Delhi,Cochin,20:25:00,01:30:00,305,1.0,No Info,5054
Jet Airways,2019-05-01,Kolkata,Banglore,21:10:00,08:15:00,665,1.0,In-flight meal not included,10844
Indigo,2019-05-01,Banglore,Delhi,04:00:00,06:50:00,170,0.0,No Info,3943
Vistara,2019-03-01,Chennai,Kolkata,07:05:00,09:20:00,135,0.0,No Info,9125
Air India,2019-06-09,Kolkata,Banglore,17:30:00,20:25:00,1615,1.0,No Info,10413
Multiple Carriers,2019-06-06,Delhi,Cochin,07:05:00,21:00:00,835,1.0,No Info,13587
Air India,2019-06-09,Delhi,Cochin,20:00:00,19:15:00,1395,1.0,No Info,8372
Air Asia,2019-06-09,Delhi,Cochin,07:55:00,15:45:00,470,1.0,No Info,8759
Spicejet,2019-03-01,Mumbai,Hyderabad,05:45:00,07:05:00,80,0.0,No Info,12475
Jet Airways,2019-06-24,Banglore,Delhi,06:00:00,08:45:00,165,0.0,In-flight meal not included,5769
Jet Airways,2019-06-24,Delhi,Cochin,17:35:00,19:00:00,1525,2.0,No Info,13922
Jet Airways,2019-05-21,Delhi,Cochin,21:50:00,12:35:00,885,1.0,In-flight meal not included,12898
Jet Airways,2019-06-12,Kolkata,Banglore,06:30:00,10:05:00,1655,1.0,In-flight meal not included,8529
Multiple Carriers,2019-05-15,Delhi,Cochin,07:00:00,21:00:00,840,1.0,No Info,8073
Air India,2019-05-24,Mumbai,Hyderabad,19:30:00,20:45:00,75,0.0,No Info,3625
Air India,2019-03-09,Banglore,New Delhi,17:00:00,16:40:00,1420,1.0,No Info,9292
Air India,2019-05-21,Kolkata,Banglore,08:20:00,07:55:00,1415,2.0,No Info,11222
Jet Airways,2019-06-09,Kolkata,Banglore,08:25:00,20:45:00,740,1.0,In-flight meal not included,10844
Jet Airways,2019-06-06,Kolkata,Banglore,09:35:00,18:00:00,505,1.0,In-flight meal not included,10539
Jet Airways,2019-05-21,Delhi,Cochin,13:00:00,04:25:00,925,1.0,In-flight meal not included,12898
Air India,2019-06-03,Delhi,Cochin,20:40:00,09:25:00,765,1.0,No Info,7480
Indigo,2019-05-12,Banglore,Delhi,06:05:00,08:50:00,165,0.0,No Info,4423
Jet Airways,2019-06-01,Delhi,Cochin,19:15:00,04:25:00,550,1.0,In-flight meal not included,10262
Air India,2019-03-15,Delhi,Cochin,18:05:00,21:10:00,185,0.0,No Info,4939
Air India,2019-03-09,Banglore,New Delhi,10:30:00,11:20:00,1490,1.0,No Info,10321
Vistara,2019-04-01,Kolkata,Banglore,07:10:00,10:45:00,1655,1.0,No Info,8505
Air India,2019-06-06,Kolkata,Banglore,16:45:00,08:55:00,970,2.0,No Info,14960
Jet Airways,2019-03-21,Delhi,Cochin,10:45:00,18:50:00,1925,2.0,In-flight meal not included,9270
Air India,2019-05-27,Mumbai,Hyderabad,06:20:00,07:40:00,80,0.0,No Info,3100
Indigo,2019-05-18,Kolkata,Banglore,15:15:00,17:45:00,150,0.0,No Info,4804
Indigo,2019-03-24,Banglore,New Delhi,22:20:00,01:10:00,170,0.0,No Info,4377
Multiple Carriers,2019-05-01,Delhi,Cochin,08:30:00,19:00:00,630,1.0,No Info,9627
Indigo,2019-06-01,Banglore,Delhi,06:05:00,08:50:00,165,0.0,No Info,3943
Air India,2019-05-01,Kolkata,Banglore,10:00:00,05:25:00,1165,2.0,No Info,13899
Vistara,2019-06-12,Kolkata,Banglore,20:20:00,18:50:00,1350,1.0,No Info,8610
Air India,2019-06-06,Delhi,Cochin,09:45:00,09:25:00,1420,1.0,No Info,7952
Jet Airways,2019-05-27,Delhi,Cochin,22:50:00,04:25:00,335,1.0,In-flight meal not included,12898
Vistara,2019-04-01,Kolkata,Banglore,20:20:00,22:55:00,1595,1.0,No Info,7770
Air India,2019-03-01,Banglore,New Delhi,08:50:00,10:35:00,1545,2.0,No Info,31783
Indigo,2019-03-18,Kolkata,Banglore,22:10:00,00:55:00,165,0.0,No Info,4148
Indigo,2019-06-06,Kolkata,Banglore,22:15:00,00:50:00,155,0.0,No Info,4804
Indigo,2019-03-27,Mumbai,Hyderabad,09:10:00,10:40:00,90,0.0,No Info,4392
Spicejet,2019-06-09,Chennai,Kolkata,09:45:00,12:00:00,135,0.0,No Info,3597
Jet Airways,2019-05-06,Kolkata,Banglore,20:25:00,09:45:00,800,1.0,In-flight meal not included,8066
Air India,2019-06-06,Kolkata,Banglore,05:50:00,12:30:00,1840,2.0,No Info,12723
Air India,2019-04-03,Kolkata,Banglore,19:00:00,11:05:00,965,1.0,No Info,4227
Air India,2019-05-21,Banglore,Delhi,17:00:00,19:50:00,170,0.0,No Info,6961
Indigo,2019-05-09,Kolkata,Banglore,11:30:00,14:05:00,155,0.0,No Info,5224
Air India,2019-05-24,Banglore,Delhi,06:10:00,08:55:00,165,0.0,No Info,8273
Spicejet,2019-06-09,Kolkata,Banglore,17:10:00,19:40:00,150,0.0,No Info,4174
Air India,2019-03-21,Banglore,New Delhi,08:15:00,11:20:00,1625,2.0,No Info,7642
Indigo,2019-06-09,Kolkata,Banglore,06:20:00,10:20:00,240,1.0,No Info,4226
Air Asia,2019-05-12,Kolkata,Banglore,19:55:00,22:25:00,150,0.0,No Info,5530
Jet Airways,2019-06-27,Mumbai,Hyderabad,02:55:00,04:20:00,85,0.0,No Info,5678
Spicejet,2019-04-24,Delhi,Cochin,17:55:00,22:50:00,295,1.0,No Info,4957
Jet Airways,2019-05-09,Kolkata,Banglore,17:00:00,09:45:00,1005,1.0,No Info,12121
Jet Airways,2019-03-18,Banglore,New Delhi,16:55:00,23:00:00,365,1.0,In-flight meal not included,11087
Multiple Carriers,2019-06-06,Delhi,Cochin,10:35:00,19:15:00,520,1.0,No Info,7354
Air India,2019-03-12,Mumbai,Hyderabad,19:40:00,09:10:00,810,2.0,No Info,11647
Indigo,2019-05-21,Delhi,Cochin,09:15:00,21:00:00,705,1.0,No Info,7318
Jet Airways,2019-05-21,Delhi,Cochin,20:55:00,12:35:00,940,1.0,In-flight meal not included,12898
Vistara,2019-05-09,Banglore,Delhi,09:45:00,12:35:00,170,0.0,No Info,4668
Jet Airways,2019-06-27,Banglore,Delhi,08:20:00,11:20:00,180,0.0,In-flight meal not included,6478
Air Asia,2019-03-01,Kolkata,Banglore,10:20:00,12:55:00,155,0.0,No Info,5620
Indigo,2019-05-18,Delhi,Cochin,15:10:00,20:00:00,290,1.0,No Info,6496
Air Asia,2019-06-09,Banglore,Delhi,23:55:00,02:45:00,170,0.0,No Info,7120
Jet Airways,2019-03-18,Mumbai,Hyderabad,19:35:00,21:05:00,90,0.0,No Info,5678
Air India,2019-03-06,Banglore,New Delhi,11:50:00,08:55:00,1265,1.0,No Info,14594
Jet Airways,2019-06-01,Banglore,Delhi,07:10:00,10:10:00,180,0.0,No Info,8016
Jet Airways,2019-03-24,Mumbai,Hyderabad,19:35:00,21:05:00,90,0.0,In-flight meal not included,2470
Air India,2019-05-09,Delhi,Cochin,10:00:00,19:15:00,555,1.0,No Info,8372
Air India,2019-03-27,Delhi,Cochin,16:40:00,19:15:00,1595,2.0,No Info,8656
Indigo,2019-06-21,Delhi,Cochin,21:05:00,00:20:00,195,0.0,No Info,5406
Jet Airways,2019-05-09,Kolkata,Banglore,14:05:00,18:15:00,1690,1.0,No Info,13584
Air India,2019-03-01,Banglore,New Delhi,00:30:00,23:55:00,1405,1.0,1 Long layover,12599
Multiple Carriers,2019-06-15,Delhi,Cochin,10:35:00,19:15:00,520,1.0,No Info,8614
Jet Airways,2019-05-09,Kolkata,Banglore,06:30:00,18:15:00,705,1.0,No Info,14781
Indigo,2019-03-01,Banglore,New Delhi,18:25:00,21:20:00,175,0.0,No Info,12649
Indigo,2019-06-27,Kolkata,Banglore,21:25:00,00:05:00,160,0.0,No Info,4804
Jet Airways,2019-05-06,Kolkata,Banglore,14:05:00,23:35:00,570,1.0,In-flight meal not included,11841
Indigo,2019-05-12,Banglore,Delhi,21:15:00,00:15:00,180,0.0,No Info,3943
Multiple Carriers,2019-05-21,Delhi,Cochin,11:25:00,19:00:00,455,1.0,No Info,9103
Vistara,2019-06-06,Kolkata,Banglore,17:00:00,23:25:00,385,1.0,No Info,8610
Multiple Carriers,2019-06-24,Delhi,Cochin,06:00:00,12:35:00,395,1.0,No Info,12524
Multiple Carriers,2019-05-21,Delhi,Cochin,10:00:00,21:00:00,660,1.0,No Info,7888
Indigo,2019-06-09,Kolkata,Banglore,15:30:00,18:05:00,155,0.0,No Info,5224
Indigo,2019-03-03,Mumbai,Hyderabad,06:20:00,07:45:00,85,0.0,No Info,4784
Vistara,2019-05-24,Kolkata,Banglore,17:00:00,09:05:00,965,1.0,No Info,10027
Jet Airways,2019-06-21,Mumbai,Hyderabad,10:20:00,11:50:00,90,0.0,No Info,8040
Jet Airways,2019-04-01,Kolkata,Banglore,09:35:00,19:10:00,575,1.0,No Info,11467
Jet Airways,2019-05-15,Kolkata,Banglore,17:00:00,09:45:00,1005,1.0,No Info,13067
Jet Airways,2019-06-15,Banglore,Delhi,19:50:00,22:50:00,180,0.0,No Info,8016
Indigo,2019-06-12,Delhi,Cochin,07:35:00,12:10:00,275,1.0,No Info,5054
Jet Airways,2019-03-18,Mumbai,Hyderabad,15:50:00,17:20:00,90,0.0,In-flight meal not included,2228
Air India,2019-03-24,Kolkata,Banglore,09:25:00,05:35:00,1210,2.0,No Info,11774
Jet Airways,2019-05-24,Kolkata,Banglore,20:00:00,20:45:00,1485,1.0,In-flight meal not included,10844
Indigo,2019-06-09,Delhi,Cochin,11:25:00,21:00:00,575,1.0,No Info,6416
Jet Airways,2019-04-01,Kolkata,Banglore,20:25:00,18:00:00,1295,1.0,No Info,11467
Indigo,2019-06-24,Kolkata,Banglore,14:25:00,16:55:00,150,0.0,No Info,4804
Indigo,2019-04-24,Delhi,Cochin,15:10:00,20:00:00,290,1.0,No Info,6027
Jet Airways,2019-06-12,Delhi,Cochin,20:00:00,04:25:00,505,2.0,In-flight meal not included,12410
Jet Airways,2019-05-15,Kolkata,Banglore,06:30:00,16:20:00,590,1.0,In-flight meal not included,10844
